"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","61. Adoption of Ordinance No. NS-502.12 amending Chapter V of Division B3 of the Santa Clara County Ordinance Code relating to charity bingo. (ID# 74748)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","62. Adoption of Salary Ordinance No. NS-5.15.81 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one unclassified Management Analyst position in the Social Services Agency. Position shall expire on February 28, 2016. (Social Services Agency) (ID# 74794)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","63. Adoption of Executive Leadership Salary Ordinance Amendment No. NS-20.15.01 for Fiscal Year 2015 and Fiscal Year 2016 amending Executive Leadership Salary Ordinance NS-20.15 relating to the compensation for the District Attorney. (Office of the County Executive) (ID# 74970)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","64. Adoption of Salary Ordinance No. NS-5.15.76 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees deleting one Management Analyst position and adding one Program Manager I position in the Office of the County Executive. (ID# 74746)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","65. Adoption of Salary Ordinance No. NS-5.15.75 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees deleting one Information Systems Technician I position and adding one Information Systems Technician II or Information Systems Technician I position in the County Library. (ID# 74878)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","66. Adoption of Salary Ordinance No. NS-5.15.74 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding three Genetic Counselor II or Genetic Counselor I positions in Santa Clara County Valley Medical Center. (ID# 74907)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","67. Adoption of Salary Ordinance No. NS-5.15.77 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adjusting salaries for all classifications represented by Deputy Sheriffs Association (DSA) of Santa Clara County, including unclassified Deputy Sheriff Cadet, and classifications in other bargaining units where the salaries are tied to DSA. (ID# 74952)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","68. Adoption of Salary Ordinance No. NS-5.15.79 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding two Information Technology Planner/Architect positions, one Information Systems Manager II or Information Systems Manager I position, and one Senior Systems Software Engineer or Systems Software Engineer II or Systems Software Engineer I position in the Information Services Department. (ID# 74940)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Final Adoption of Ordinances","69. Adoption of Salary Ordinance No. NS-5.15.78 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees deleting one half-time Planner III position and adding one Senior Management Analyst or Management Analyst or Associate Management Analyst B or Associate Management Analyst A position and two Planner III or Planner II or Planner I positions in the Parks and Recreation Department. (ID# 74686)"," Action to Introduce and Preliminarily adopt on February 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on February 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","February 24, 2015","Added Items - Consent Calendar","70. Adopt Resolution amending Section 33.3 of the Rules of the Board of Supervisors relating to a process for forwarding agenda items from Committees. (Roll Call Vote) (ID# 74348)","",""
"Santa Clara County","February 24, 2015","Added Items - Regular","71. Approve Fiscal Year 2015 Mid-Year Budget request to add one Health Care Financial Analyst II position supporting the Public Health Department. (Yeager)","",""
"Santa Clara County","February 24, 2015","Added Items - Regular","72. Approve Board referrals regarding future proposed budget amendments, revenue adjustments, expenditures, or other such actions arising in regards to the Fiscal Year","",""
"Santa Clara County","February 24, 2015","Added Items - Regular","2015 Mid-Year Budget review. (President)","",""
"Santa Clara County","March 10, 2015","Ceremonial Presentations","6. Commendations and Proclamations. (See Item No. 64)"," a. Present Proclamation declaring March 12, 2015 as Azteca Mexica New Years Day in Santa Clara County. (Chavez/Cortese) b. Present Commendation recognizing Social Workers for providing valuable compassion and advocacy for those in need. (President)",""
"Santa Clara County","March 10, 2015","Ceremonial Presentations","7. Present Certificates of Appreciation to Employee Excellence Award Honorees for March 2015. (See Item No. 65)"," a. Demetra McBride, Director, Office of Sustainability b. Denise Sanders, Senior Paralegal, Office of the County Counsel c. Star Cazador, Deputy Sheriff, Office of the Sheriff d. Angela Lynch, Deputy Probation Officer III, Probation Department e. Darlise Ashely, Client Services Technician, Social Services Agency f. Susana Yanez-Samatua, Senior Patient Business Services Clerk, Santa Clara Valley Health and Hospital System g. Tim Forehand, Respiratory Care Practitioner II, Santa Clara Valley Health and Hospital System h. Janet Hayton, Administrative Support Officer II, Santa Clara County Fire Department",""
"Santa Clara County","March 10, 2015","Ceremonial Presentations","8. Receive report from the Countys federal lobbyist, Prime Policy Group, relating to federal legislative activities. (Office of the County Executive) (ID# 75324)"," Time Certain - To Be Heard No Earlier Than 9:30 a.m.",""
"Santa Clara County","March 10, 2015","Ceremonial Presentations","9. Public Hearing - Consummation of Purchase of South Bascom Property (Facilities and Fleet Department)"," a. Public Hearing to consider consummation of purchase of real property, commonly known as the South Bascom Property, Assessors Parcel No. 412-20-048, for public purpose. (Supervisorial District Four) (ID# 75278) i. Open public hearing and receive testimony. ii. Close public hearing. b. Adopt Resolution finding the acquisition of the South Bascom property serves a public health purpose; authorizing the President of the Board of Supervisors to execute the Purchase and Sale Agreement; and, delegating authority to the County Executive, or designee, to negotiate and execute all documents and take all necessary action to complete the acquisition. (Roll Call Vote) (Facilities and Fleet) (ID# 75276)",""
"Santa Clara County","March 10, 2015","Board Referrals","10. Consider recommendations relating to the Fiscal Year (FY) 2016 Budget process. (President) (ID# 75410)"," Possible action: a. Approve the Budget Workshop schedule for FY 2016 Budget process. b. Approve the Budget-related request for information process for FY 2016 Budget. c. Approve the Budget Modification Process (Inventory) for FY 2016 Budget.",""
"Santa Clara County","March 10, 2015","Board of Supervisors and Board Appointees","11. Receive report from County Executive.","",""
"Santa Clara County","March 10, 2015","Board of Supervisors and Board Appointees","12. Receive report on public health issues.","",""
"Santa Clara County","March 10, 2015","Board of Supervisors and Board Appointees","13. Receive report from County Counsel on legal issues and closed session meetings of February 24 and March 9, 2015.","",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","14. Under advisement from November 18, 2014 (Item No. 36): Receive report from Consumer and Environmental Protection Agency, Agriculture Division, Weights and Measures Division, and Department of Environmental Health relating to activities regarding the possible regulation of medical marijuana. (Consumer and Environmental Protection Agency) (ID# 74921)","",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","15. Under advisement from February 24, 2014 (Item 13h): Approve Request for Appropriation Modification No. 166 - $323,590 transferring funds from the General Fund Contingency Reserve to the Social Services Agency budget, relating to the addition of ten Social Worker I positions and one Social Work Supervisor in the Social Services Agency. (4/5 Roll Call Vote) (Social Services Agency) (ID# 75320)","",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","16. Under advisement from February 24, 2014 (Item 13h): Adoption of Salary Ordinance No. NS-5.15.102 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding ten Social Worker I positions and one Social Work Supervisor position in the Social Services Agency, Department of Family and Childrens Services. (Social Services Agency) (ID# 75326)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","17. Held from February 24, 2015 (Item No. 14): Approve Agreement with Bank of New York Mellon relating to providing asset management services in an amount not to exceed $375,000 for period January 1, 2015 through December 31, 2018 and renewal options of two years, for a maximum of five years, that has been reviewed and approved by County Counsel as to form and legality. (Finance Agency) (ID# 74793)"," Request from Administration to hold item to March 24, 2015.",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","18. Held from February 24, 2015 (Item No. 49): Consider recommendations relating to Agreements with the County of San Mateo in support of the Northern California Regional Intelligence Center. (Office of the Sheriff) (ID# 74949)"," Possible action: a. Approve First Amendment to Agreement with the County of San Mateo relating to the Northern California Regional Intelligence Center, increasing the maximum contract amount by $20,141 from $177,675 to $197,816, and extending the Agreement for a two-month period through February 28, 2015, that has been reviewed and approved by County Counsel as to form and legality. b. Approve Request for Appropriation Modification No. 145 - $20,141 increasing revenue and expenditures in the Office of the Sheriff budget, relating to the First Amendment to Agreement with the County of San Mateo and the Northern California Regional Intelligence Center. (4/5 Roll Call Vote) c. Approve Agreement with County of San Mateo relating to the Northern California Regional Intelligence Center in the amount of $177,675 for period February 1, 2015 through December 31, 2015, that has been reviewed and approved by County Counsel as to form and legality. d. Approve Request for Appropriation Modification No. 146 - $177,675 increasing revenue and expenditures in the Office of the Sheriff budget, relating to the February 1, 2015 Agreement with County of San Mateo and the Northern California Regional Intelligence Center. (4/5 Roll Call Vote)",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","19. Under advisement from September 23, 2014 (Item No. 7): Receive report relating to fogging options from the Vector Control District. (Consumer and Environmental Protection Agency) (ID# 75098)","",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","20. Under advisement from November 4, 2014 (Item No. 12): Consider recommendations relating to the Healthy Nail Salon Recognition Program. (Consumer and Environmental Protection Agency)"," a. Receive report from the Consumer and Environmental Protection Agency relating to the Healthy Nail Salon Recognition Program. (ID# 75176) Health and Hospital Committee received report on February 11, 2015 and recommends approval. b. Adopt Resolution establishing a Healthy Nail Salon Recognition Program. (Roll Call Vote) (ID# 75308) c. Approve Request for Appropriation Modification No. 144 - $64,874 increasing revenue and expenditures in the Consumer and Environmental Protection Agency budget, relating to the Healthy Nail Salon Recognition Program. (4/5 Roll Call Vote) (ID# 74933) d. Adoption of Salary Ordinance No. NS-5.15.98 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one Senior Environmental Health Specialist position and one half-time AEM Operations Aide position in the Department of Agriculture and Environmental Management (AEM). (ID# 74932) Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","21. Consider recommendations relating to extension of Lease Agreement with Abilities United. (Facilities and Fleet Department) (ID# 73993)"," Possible action: a. Approve exception to Board of Supervisors Policy 5.4.5.4, Length of Term of Contract - Exception (8) Revenue Contracts, relating to Agreement with Abilities United, to provide services for developmentally disabled children and youth. b. Approve Second Amendment to Lease Agreement with Abilities United relating to providing use of the property located at 3864 Middlefield Road, Palo Alto, in an amount not to exceed $49 or $1 per year for period ending April 11, 2064, that has been reviewed and approved by County Counsel as to form and legality. c. Authorize Director, Facilities and Fleet Department, or designee, to manage the Lease Agreement.",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","22. Adopt Resolution certifying the critical need for the extra-help employment of two retired Child Support Officers, Mary Farias and Helen Turner, prior to the 180-day waiting period to fill critically needed positions. (Roll Call Vote) (Department of Child Support Services) (ID# 75297)","",""
"Santa Clara County","March 10, 2015","Regular Agenda - Items for Discussion","23. Consider items previously removed from the Consent Calendar.","",""
"Santa Clara County","March 10, 2015","Closing","24. Adjourn."," Consent Calendar - Items will be considered under Item No. 5. Items removed from the consent calendar will be considered at the end of the morning session regular agenda.",""
"Santa Clara County","March 10, 2015","Closing","25. Minutes Approval:"," a. Approve minutes of the February 23, 2015 Regular Meeting prior to Closed Session. b. Approve minutes of the February 24, 2015 Regular Meeting. c. Approve minutes of the February 24, 2015 Special Meeting prior to Closed Session.",""
"Santa Clara County","March 10, 2015","Social Services Agency","26. Authorize extension of extra-help hours beyond the 1,040 hour limitation for six Social Worker I positions, three Social Worker II positions, one Associate Management Analyst B position, and one Associate Management Analyst A position in the Social Services Agency. (ID# 74999)","",""
"Santa Clara County","March 10, 2015","Santa Clara Valley Health and Hospital System","27. Adopt Resolution ratifying the appointment of Toni Ann Tullys as Director, Behavioral Health Services Department. (Roll Call Vote) (ID# 75288)","",""
"Santa Clara County","March 10, 2015","Santa Clara Valley Health and Hospital System","28. Adoption of Salary Ordinance No. NS-5.15.100 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one Health Care Financial Analyst II or Health Care Financial Analyst I or Health Care Financial Analyst Associate position in the Santa Clara Valley Medical Center. (ID# 75312)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Santa Clara Valley Health and Hospital System","29. Approve Agreement with Peninsula Healthcare Connection, Inc., relating to providing Medi-Cal outreach and enrollment services in an amount not to exceed $100,000 for period March 10, 2015 through June 30, 2016, that has been reviewed and approved by County Counsel as to form and legality. (ID# 75135)","",""
"Santa Clara County","March 10, 2015","Santa Clara Valley Health and Hospital System","30. Consider recommendations relating to Agreement with Daughters of Charity Health System Medical Foundation (DCHS) doing business as San Jose Medical Group. (ID# 75125)"," Possible action: a. Approve exception to Board of Supervisors Policy 5.4.5.4, Length of Term of Contracts - Exception 8, Revenue contracts, relating to Agreement with DCHS, to provide professional services. b. Approve First Amendment to Agreement with DCHS relating to providing professional services, extending the Agreement for a five-year period through March 31, 2020, that has been reviewed and approved by County Counsel as to form and legality.",""
"Santa Clara County","March 10, 2015","Santa Clara Valley Health and Hospital System","31. Adopt Resolution establishing Immigration Clinic rates for Santa Clara Valley Medical Center, effective March 10, 2015. (Roll Call Vote) (ID# 74993)","",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","32. Consider recommendations relating to the 2013 Continuum of Care Planning Grant from the U.S. Department of Housing and Urban Development (HUD). (ID# 74138)"," Possible action: a. Approve Grant Agreement with HUD relating to planning, coordinating, and improving homeless services in an amount not to exceed $135,153 for a 12-month period, that has been reviewed and approved by County Counsel as to form and legality. b. Approve Request for Appropriation Modification No. 104 - $82,077 increasing revenue and expenditures in the Department of Behavioral Health Services budget, relating to planning, coordinating, and improving homeless services. (4/5 Roll Call Vote) c. Approve Fourth Amendment to Agreement with HomeBase relating to planning and coordinating homeless services, increasing the maximum contract amount by $49,000 from $145,000 to $194,000, for period ending June 30, 2015, that has been reviewed and approved by County Counsel as to form and legality.",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","33. Approve Request for Appropriation Modification No. 153 - $106,362 increasing revenue and expenditures in the Department of Behavioral Health Services budget, relating to adding clinical and clerical positions in the KidScope Program. (4/5 Roll Call Vote) (ID# 74730)","",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","34. Adoption of Salary Ordinance No. NS-5.15.101 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding three Psychiatric Social Worker II or Psychiatric Social Worker I or Marriage and Family Therapist II or Marriage and Family Therapist I positions, one Clinical Psychologist or Hospital Psychological Assistant position, one half-time Clinical Psychologist or Hospital Psychological Assistant position, one and one half-time Psychosocial Occupational Therapist positions, one Speech-Language Pathologist II or Speech-Language Pathologist I position, one Health Care Program Manager I position, one Health Services Officer Supervisor position, and one Health Services Representative position in the Department of Behavioral Health Services. (ID# 74732)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","35. Consider recommendations relating to Agreement with California State University (CSU). (ID# 75007)"," Possible action: a. Approve Agreement with CSU relating to providing training to their law enforcement officers in an amount not to exceed $13,908 for period March 10, 2015 through June 30, 2015, that has been reviewed and approved by County Counsel as to form and legality. b. Approve Request for Appropriation Modification No. 158 - $13,908 increasing revenue and expenditures in the Department of Behavioral Health Services budget, relating to a Revenue Agreement with CSU to pay for training services. (4/5 Roll Call Vote)",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","36. Consider recommendations relating to Amendments to Agreements to provide transitional housing unit services. (ID# 74844)"," Possible action: a. Approve usage of Board of Supervisors Policy 5.6.5.1(D)(2)(a) Exceptions to Competitive Procurement - Single Source, relating to Amendments to Agreements with InnVision Shelter Network (IVSN) and HomeFirst Services of Santa Clara County (HomeFirst), to provide transitional housing units for individuals on parole in Santa Clara County; this request falls within the exception specified under Board policy due to the immediate need to build capacity within the transitional housing units program. b. Approve Third Amendment to Agreement with IVSN relating to providing transitional housing and case management services, increasing the maximum contract amount by $78,102 from $1,026,861 to $1,104,963, with no extension in the term of the Agreement, that has been reviewed and approved by County Counsel as to form and legality. c. Approve Third Amendment to Agreement with HomeFirst relating to providing transitional housing, increasing the maximum contract amount by $76,400 from $1,278,619 to $1,355,019, with no extension in the term of the Agreement, that has been reviewed and approved by County Counsel as to form and legality.",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","37. Consider recommendations relating to Agreement with HomeFirst. (ID# 75086)"," Possible action: a. Approve First Amendment to Agreement with HomeFirst relating to providing Cold Weather Shelter Program services, increasing the maximum contract amount by $39,092 from $466,047 to $505,139, with no extension in the term of the Agreement, that has been reviewed and approved by County Counsel as to form and legality. b. Approve Request for Appropriation Modification No. 154 - $39,092 transferring funds from the General Fund Contingency Reserve to the Department of Behavioral Health Services budget relating to increasing the number of nightly emergency shelter beds at the Gilroy Armory. (4/5 Roll Call Vote)",""
"Santa Clara County","March 10, 2015","Behavioral Health Department","38. Approve Agreement with Family and Children Services of Silicon Valley relating to providing services associated with the establishment of an Ethnic Cultural Communities Advisory Committee to serve the Lesbian, Gay, Bisexual, Transgender, and Queer/Questioning community of Santa Clara County in an amount not to exceed"," $165,000 for period March 10, 2015 through March 9, 2016, that has been reviewed and approved by County Counsel as to form and legality. (ID# 74751)",""
"Santa Clara County","March 10, 2015","Employee Services Agency","39. Approve Request for Appropriation Modification No. 161 - $35,557 transferring funds from the Information Services Department budget to the Employee Services Agency budget, relating to adding one unclassified position to facilitate a classification study of Information Technology positions. (Roll Call Vote) (ID# 75238)","",""
"Santa Clara County","March 10, 2015","Employee Services Agency","40. Adoption of Salary Ordinance No. NS-5.15.83 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one unclassified Human Resources Analyst or Management Analyst or Associate Management Analyst B or Associate Management Analyst A position in the Employee Services Agency. Position shall expire on March 30, 2016. (ID# 75092)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Employee Services Agency","41. Receive semi-annual report on extra-help usage for the first two quarters of Fiscal Year 2015. (ID# 75137)","",""
"Santa Clara County","March 10, 2015","Employee Services Agency","42. Adoption of Salary Ordinance No. NS-5.15.97 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees amending salaries for various classifications Countywide. (ID# 75055)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Employee Services Agency","43. Held from February 24, 2015 (Item No. 17): Approve Agreement with Alliant Insurance Services, Inc., relating to providing employee benefits consulting, broker, and actuarial services in an amount not to exceed $1,052,000 for period March 11, 2015 through February 28, 2019, that has been reviewed and approved by County Counsel as to form and legality. (ID# 75417)","",""
"Santa Clara County","March 10, 2015","Board of Supervisors","44. Consider the following meeting attendance reports:"," a. Receive report from Supervisorial District One relating to meetings attended through March 2, 2015. (ID# 75387) b. Receive report from Supervisorial District Two relating to meetings attended through March 5, 2015 (ID# 75401) c. Receive report from Supervisorial District Three relating to meetings attended through March 4, 2015. (ID# 75103) d. Receive report from Supervisorial District Four relating to meetings attended through March 5, 2015. (ID# 75424) e. Receive report from Supervisorial District Five relating to meetings attended through March 3, 2015. (ID# 75397)",""
"Santa Clara County","March 10, 2015","Housing, Land Use, Environment, and Transportation Committee","45. Receive report from the Housing, Land Use, Environment, and Transportation Committee relating to the meeting of February 19, 2015. (Cortese) (ID# 75322)"," Committee Items: a. Approve revised Parks and Recreation Commission Bylaws. (ID# 75355) Request from President Cortese to hold item to March 24, 2015.",""
"Santa Clara County","March 10, 2015","Public Safety and Justice Committee","46. Receive report from the Public Safety and Justice Committee relating to the meeting of February 18, 2015. (Supervisor Wasserman) (ID# 75389)"," Committee Items: a. Approve recommendation from the Advisory Commission on Consumer Affairs that the County publicize the RecycleStuff.org website. (ID# 75396)",""
"Santa Clara County","March 10, 2015","Health and Hospital Committee","47. Receive report from the Health and Hospital Committee relating to the meeting of February 11, 2015. (Yeager) (ID# 75395)","",""
"Santa Clara County","March 10, 2015","County Executive","48. Approve County participation in and co-hosting of the 2015 Silicon Valley Leadership Group Regional Economic Summit. (ID# 75291)","",""
"Santa Clara County","March 10, 2015","County Executive","49. Adopt Resolution authorizing performance of services by the Registrar of Voters for a mail ballot election to be held on May 5, 2015 for Campbell Union and Palo Alto Unified School Districts. (Roll Call Vote) (ID# 75226)","",""
"Santa Clara County","March 10, 2015","County Executive","50. Adopt Resolution authorizing performance of services by the Registrar of Voters for the special elections to be held on April 7, 2015 and June 23, 2015 for the City of San Jose. (Roll Call Vote) (ID# 75282)","",""
"Santa Clara County","March 10, 2015","County Executive","51. Consider recommendations relating to the State of California CALNET 3 Agreements. (ID# 75465)"," Possible action: a. Approve exception to Board of Supervisors Policy 5.4.5.4, Length of Term of Contracts - Exception 2 Piggyback on another jurisdictions contract that is more than five years, relating to the successor State of California CALNET 3 Agreements, to provide telecommunications services. b. Approve delegation of authority to Chief Information Officer, or designee, to execute, amend, terminate, and/or take any and all necessary or advisable actions relating to the transition from the State of California Integrated Network Services Agreements known as CALNET 2 to the successor State of California CALNET 3 Agreements regarding the provision of telecommunications services in an amount not to exceed $30 million with a contract term that starts upon execution and ends no later than June 30, 2020, following approval by County Counsel as to form and legality, and approval by the Office of the County Executive. Delegation of authority shall expire on June 30, 2020.",""
"Santa Clara County","March 10, 2015","County Executive","52. Approve delegation of authority to County Executive, or designee, to remove liens on certain San Jose Successor Agency properties contingent upon obtaining alternate security in a form satisfactory to the County Executive, following approval by County Counsel as to form and legality. Delegation of authority shall expire on December 31, 2016. (ID# 75280)","",""
"Santa Clara County","March 10, 2015","County Executive","53. Receive monthly status report on items referred to Administration. (ID# 75249)","",""
"Santa Clara County","March 10, 2015","Procurement Department","54. Approve First Amendment to Agreement No. 5500002139 with Stat Delivery Service, Inc., relating to providing laboratory courier services, increasing the maximum contract amount by $500,000 from $650,000 to $1,150,000, and extending the Agreement for a two-year period through April 2, 2017, that has been reviewed and approved by County Counsel as to form and legality. (ID# 74835)","",""
"Santa Clara County","March 10, 2015","Procurement Department","55. Approve Second Amendment to Agreement No. 5500002157 with SHI International Corporation relating to providing computer peripheral, accessories, and related services, increasing the maximum contract amount by $1,400,000 from $5,000,000 to $6,400,000, and extending the Agreement for a 12-month period through June 30, 2016, that has been reviewed and approved by County Counsel as to form and legality. (ID# 74924)","",""
"Santa Clara County","March 10, 2015","Procurement Department","56. Approve Third Amendment to Agreement with SHI International Corporation relating to providing commercial-off-the-shelf software, maintenance, and related services, increasing the maximum contract amount by $2,200,000 from $5,000,000 to $7,200,000, and extending the Agreement for a 12-month period through June 2, 2016, that has been reviewed and approved by County Counsel as to form and legality. (ID# 75275)","",""
"Santa Clara County","March 10, 2015","County Counsel","57. Consider recommendations relating to Conflict of Interest Codes. (ID# 75329)"," Possible action: a. Approve the Conflict of Interest Code for Santa Clara County Office of Education. b. Approve the Conflict of Interest Code for Aldercroft Heights County Water District.",""
"Santa Clara County","March 10, 2015","Boards and Commissions","58. Authorize travel to Seattle, Washington, for Planning Commissioners Marc Rauser and Scott Lefaver to attend the American Planning Association National Planning Conference on April 18-21, 2015. (ID# 75190)","",""
"Santa Clara County","March 10, 2015","Boards and Commissions","59. Announce appointments and reappointments by individual Board members to various Boards and Commissions:"," a. Supervisor Wasserman: (ID# 75404) i. Appoints Jennifer Briscoe to the Commission on the Status of Women, seat number 10. b. Supervisor Chavez: (ID# 75394) i. Appoints Gale Bate to the Code Enforcement Appeals Board, seat number 1. ii. Appoints Melissa Luke to the Domestic Violence Council, seat number 19. c. Supervisor Yeager: (ID# 75423) i. Appoints Albert Michael Moore to the Province of Florence, Italy Sister- County Commission, seat number 15. d. Supervisor Cortese: (ID# 75450) i. Appoints Evangeline Sangalang to the National Guard and Veterans Affairs Commission, seat number 6.",""
"Santa Clara County","March 10, 2015","Boards and Commissions","60. Approve Board-As-a-Whole appointments and reappointments to various Boards and commissions:"," a. Supervisor Wasserman nominates: (ID# 75402) i. Stefaniya Becking for appointment to the Lake Canyon Community Services District, seat number 2.",""
"Santa Clara County","March 10, 2015","Boards and Commissions","61. Consider recommendations relating to resignations from Boards and Commissions. (ID# 75299)"," Possible action: a. Accept the resignation of Aaron Behman from the Lake Canyon Community Services District. b. Accept the resignation of Joseph Caccia from the HIV Planning Council for Prevention and Care.",""
"Santa Clara County","March 10, 2015","Law and Justice","62. Approve delegation of authority to Chief Probation Officer, Probation Department, to submit Grant Application to Bureau of Justice Assistance relating to grant funding for"," the Smart Supervision Program in the amount of $750,000 for period ending December 1, 2015. (ID# 75152)",""
"Santa Clara County","March 10, 2015","Finance Agency","63. Receive Monthly Investment Transaction Report for period ending January 31, 2015. (ID# 75090)","",""
